,SE1,SE2,SE3,SE4
2000-01-02 20:00:00+00:00,42035.63,301566.743,455137.454,393286.86
2000-01-02 21:00:00+00:00,42980.93,288054.693,391416.338,387049.634
2000-01-02 22:00:00+00:00,40125.4,304606.472,365014.618,320829.996
2000-01-02 23:00:00+00:00,36149.016,300222.181,331012.763,337551.457
2000-01-03 00:00:00+00:00,33386.367,309292.675,318249.373,327486.695
2000-01-03 01:00:00+00:00,26190.975,232454.455,375871.06,355208.136
2000-01-03 02:00:00+00:00,36588.854,186334.247,380004.283,439133.872
2000-01-03 03:00:00+00:00,44124.774,181757.198,409852.791,575921.56
2000-01-03 04:00:00+00:00,65809.649,177710.463,454651.671,744255.035
2000-01-03 05:00:00+00:00,65625.145,190791.086,516799.917,903150.898
2000-01-03 06:00:00+00:00,56726.127,213121.869,597880.173,1038758.616
2000-01-03 07:00:00+00:00,54551.177,223468.102,716706.894,1171927.57
2000-01-03 08:00:00+00:00,56020.86,245407.651,812352.726,1266322.38
2000-01-03 09:00:00+00:00,52827.774,241080.39,913346.995,1306879.429
2000-01-03 10:00:00+00:00,65229.905,203424.71,980220.782,1339390.997
2000-01-03 11:00:00+00:00,77913.118,155200.958,1044959.33,1353881.816
2000-01-03 12:00:00+00:00,86861.306,131578.147,1133537.679,1335269.415
2000-01-03 13:00:00+00:00,94503.371,109917.689,1225843.392,1233710.563
2000-01-03 14:00:00+00:00,69722.218,96909.5,1287742.562,1044475.367
2000-01-03 15:00:00+00:00,65165.359,89562.376,1343973.285,965030.34
2000-01-03 16:00:00+00:00,37949.05,71445.918,1381002.297,887677.475
2000-01-03 17:00:00+00:00,25756.427,60949.266,1380605.917,767343.471
2000-01-03 18:00:00+00:00,14926.937,51380.334,1341244.275,643437.024
2000-01-03 19:00:00+00:00,10803.37,51648.55,1330897.766,512919.612
2000-01-03 20:00:00+00:00,14839.981,56640.692,1304269.337,405665.518
2000-01-03 21:00:00+00:00,30235.287,61021.576,1285168.918,318606.337
2000-01-03 22:00:00+00:00,25793.167,57250.519,1262344.798,248544.341
2000-01-03 23:00:00+00:00,34520.109,63065.422,1201113.438,227515.294
2000-01-04 00:00:00+00:00,33735.166,83625.586,1152807.183,213348.141
2000-01-04 01:00:00+00:00,43543.774,118339.892,1133113.772,179656.0
2000-01-04 02:00:00+00:00,52716.464,164089.567,1097867.0,135261.912
2000-01-04 03:00:00+00:00,56121.527,197839.433,1043349.842,87640.729
2000-01-04 04:00:00+00:00,76760.583,246991.033,1010827.97,66416.227
2000-01-04 05:00:00+00:00,77037.554,304286.607,964796.302,59288.39
2000-01-04 06:00:00+00:00,68932.409,304504.969,910157.529,59707.721
2000-01-04 07:00:00+00:00,69598.716,306590.806,813339.795,94672.159
2000-01-04 08:00:00+00:00,66850.472,298199.515,769680.004,81787.808
2000-01-04 09:00:00+00:00,74701.692,313376.946,760186.645,64543.659
2000-01-04 10:00:00+00:00,75042.365,349715.365,732349.13,61798.089
2000-01-04 11:00:00+00:00,88336.211,357266.173,697754.646,75624.639
2000-01-04 12:00:00+00:00,96209.621,356053.152,632334.854,90246.328
2000-01-04 13:00:00+00:00,125249.046,390344.811,543699.275,90900.322
2000-01-04 14:00:00+00:00,140926.853,436986.623,513480.292,106445.196
2000-01-04 15:00:00+00:00,149964.201,569885.128,510099.464,120860.996
2000-01-04 16:00:00+00:00,165378.732,561063.798,499665.509,146444.211
2000-01-04 17:00:00+00:00,166587.706,551706.512,505006.16,157669.846
2000-01-04 18:00:00+00:00,177906.728,518640.184,483299.46,139454.473
2000-01-04 19:00:00+00:00,193605.362,567236.293,446726.088,108363.094
2000-01-04 20:00:00+00:00,205108.86,631295.971,385372.624,104000.487
2000-01-04 21:00:00+00:00,213155.731,660718.262,362565.818,114116.876
2000-01-04 22:00:00+00:00,228664.271,691457.74,362371.269,104871.942
2000-01-04 23:00:00+00:00,239609.19,661063.967,351967.432,84101.643
2000-01-05 00:00:00+00:00,284206.425,642743.828,346627.278,69006.843
2000-01-05 01:00:00+00:00,312673.827,708985.062,350130.554,50927.043
2000-01-05 02:00:00+00:00,327477.476,760785.911,353965.919,43571.03
2000-01-05 03:00:00+00:00,345506.467,770293.116,315534.493,34790.342
2000-01-05 04:00:00+00:00,356856.004,855246.259,335907.701,37250.209
2000-01-05 05:00:00+00:00,383284.62,918162.103,339973.278,42847.378
2000-01-05 06:00:00+00:00,385594.964,957648.997,325317.242,40548.306
2000-01-05 07:00:00+00:00,385741.234,972690.218,329232.594,32927.635
2000-01-05 08:00:00+00:00,380325.245,1003976.834,342157.175,27814.656
2000-01-05 09:00:00+00:00,387291.282,1027072.328,338947.159,29293.574
2000-01-05 10:00:00+00:00,383559.615,1039356.301,324071.224,31068.361
2000-01-05 11:00:00+00:00,384755.974,1032811.785,313798.751,17910.021
2000-01-05 12:00:00+00:00,384009.015,1022313.71,329372.29,24739.162
2000-01-05 13:00:00+00:00,385595.707,997860.33,360001.182,42632.321
2000-01-05 14:00:00+00:00,390035.577,970733.652,363730.279,54242.564
2000-01-05 15:00:00+00:00,391010.256,928072.911,353734.986,47164.922
2000-01-05 16:00:00+00:00,386321.078,893185.452,347726.175,51070.779
2000-01-05 17:00:00+00:00,383306.934,897311.542,296445.861,59944.762
2000-01-05 18:00:00+00:00,375673.253,908689.329,269888.152,81465.374
2000-01-05 19:00:00+00:00,368469.544,919436.094,265299.842,101082.13
2000-01-05 20:00:00+00:00,357932.819,896139.254,276037.203,144597.708
2000-01-05 21:00:00+00:00,348787.023,945583.919,268499.931,116778.404
2000-01-05 22:00:00+00:00,334469.151,950639.906,283381.641,116296.781
2000-01-05 23:00:00+00:00,334647.347,1005126.04,285270.495,134334.326
2000-01-06 00:00:00+00:00,320384.814,1000822.437,305350.189,117430.489
2000-01-06 01:00:00+00:00,304218.575,1047881.293,311269.132,91667.899
2000-01-06 02:00:00+00:00,329322.108,1073444.805,325673.385,76980.581
2000-01-06 03:00:00+00:00,354992.383,1152019.901,353190.096,58768.232
2000-01-06 04:00:00+00:00,355179.305,1244925.67,362203.306,50308.68
2000-01-06 05:00:00+00:00,371511.207,1346095.451,359320.065,56051.607
2000-01-06 06:00:00+00:00,387859.695,1405559.498,391853.685,58445.535
2000-01-06 07:00:00+00:00,390484.659,1418065.446,434910.859,74782.312
2000-01-06 08:00:00+00:00,409203.701,1429555.611,467306.469,60198.297
2000-01-06 09:00:00+00:00,437934.015,1491570.058,507002.974,39980.863
2000-01-06 10:00:00+00:00,462341.65,1515516.757,525467.914,47638.226
2000-01-06 11:00:00+00:00,453955.82,1550414.363,552930.37,55621.252
2000-01-06 12:00:00+00:00,457927.894,1553648.358,562267.741,69380.876
2000-01-06 13:00:00+00:00,464127.098,1545700.304,563714.454,104455.946
2000-01-06 14:00:00+00:00,470481.916,1580243.55,659857.259,141237.04
2000-01-06 15:00:00+00:00,460761.096,1512078.413,776235.208,228814.658
2000-01-06 16:00:00+00:00,467865.93,1538067.089,885180.477,256723.994
2000-01-06 17:00:00+00:00,484489.747,1479670.569,892460.123,362372.49
2000-01-06 18:00:00+00:00,476961.449,1607510.165,921106.622,436316.12
2000-01-06 19:00:00+00:00,452846.859,1688848.472,942487.079,534261.057
2000-01-06 20:00:00+00:00,429125.901,1712055.096,980566.121,590305.791
2000-01-06 21:00:00+00:00,428488.417,1704819.671,1074312.19,553312.951
2000-01-06 22:00:00+00:00,425934.231,1718313.648,1090342.032,536203.091
2000-01-06 23:00:00+00:00,427179.76,1709442.432,1093260.948,478374.108
2000-01-07 00:00:00+00:00,432122.852,1767960.246,1029382.538,463319.974
2000-01-07 01:00:00+00:00,462010.804,1741326.271,901282.792,407866.487
2000-01-07 02:00:00+00:00,468852.648,1756857.583,828582.214,387731.029
2000-01-07 03:00:00+00:00,485691.758,1704397.981,812658.146,370340.859
2000-01-07 04:00:00+00:00,478355.287,1651488.253,817479.433,322577.682
2000-01-07 05:00:00+00:00,465445.557,1624330.817,788966.273,313597.743
2000-01-07 06:00:00+00:00,391973.511,1452495.38,786720.088,242318.478
2000-01-07 07:00:00+00:00,364126.062,1335832.396,977974.242,183313.098
2000-01-07 08:00:00+00:00,306941.229,1400737.129,1126994.205,161364.886
2000-01-07 09:00:00+00:00,255635.593,1514319.441,1318196.52,118369.915
2000-01-07 10:00:00+00:00,290583.506,1700851.411,1504332.021,126294.671
2000-01-07 11:00:00+00:00,340972.433,1764008.737,1597323.57,160043.915
2000-01-07 12:00:00+00:00,306792.003,1832030.679,1713532.186,223385.216
2000-01-07 13:00:00+00:00,284030.783,1791978.942,1772548.723,302626.846
2000-01-07 14:00:00+00:00,213580.208,1633404.485,1850637.653,427906.606
2000-01-07 15:00:00+00:00,85289.492,1425159.497,1874558.031,550708.591
2000-01-07 16:00:00+00:00,13598.987,1424704.627,1899440.838,659388.785
2000-01-07 17:00:00+00:00,12190.815,1478500.303,1924949.356,777943.841
2000-01-07 18:00:00+00:00,91575.942,1660058.926,1883121.005,830771.622
2000-01-07 19:00:00+00:00,186581.409,1718918.553,1822207.054,855281.651
2000-01-07 20:00:00+00:00,207868.25,1725920.421,1783788.466,847289.388
2000-01-07 21:00:00+00:00,257744.257,1718006.652,1717352.219,852839.071
2000-01-07 22:00:00+00:00,282283.339,1706326.877,1601067.565,859706.664
2000-01-07 23:00:00+00:00,360889.146,1662197.244,1473688.982,834798.994
2000-01-08 00:00:00+00:00,391018.597,1516585.98,1386614.776,784560.965
2000-01-08 01:00:00+00:00,415231.661,1365570.805,1247859.08,744291.327
2000-01-08 02:00:00+00:00,438425.586,1360786.436,1144537.985,609030.789
2000-01-08 03:00:00+00:00,424750.567,1234815.457,1023899.352,529637.627
2000-01-08 04:00:00+00:00,449819.107,1231556.915,952690.417,433728.262
2000-01-08 05:00:00+00:00,450781.562,1181820.211,843338.245,375797.822
2000-01-08 06:00:00+00:00,432279.675,1048821.856,818321.332,294151.57
2000-01-08 07:00:00+00:00,442245.645,1060215.882,872600.234,215978.899
2000-01-08 08:00:00+00:00,446124.795,1149163.216,877516.619,146684.22
2000-01-08 09:00:00+00:00,432891.549,1297565.132,865712.135,80616.428
2000-01-08 10:00:00+00:00,427115.416,1278405.135,837102.441,38719.251
2000-01-08 11:00:00+00:00,441165.674,1177841.902,779364.349,22721.822
2000-01-08 12:00:00+00:00,448945.236,1061405.8,746547.139,28357.745
2000-01-08 13:00:00+00:00,448500.518,1074219.06,728341.485,40046.434
2000-01-08 14:00:00+00:00,418977.443,1188504.951,731198.978,46318.217
2000-01-08 15:00:00+00:00,382123.821,1243965.44,763551.76,53524.331
2000-01-08 16:00:00+00:00,371071.913,1296198.541,784485.638,57176.833
2000-01-08 17:00:00+00:00,365307.108,1299939.449,801481.535,52469.584
2000-01-08 18:00:00+00:00,362118.632,1282960.155,770054.274,33828.988
2000-01-08 19:00:00+00:00,342888.182,1300963.339,726409.092,44422.699
2000-01-08 20:00:00+00:00,305492.693,1270306.81,754266.473,47207.523
2000-01-08 21:00:00+00:00,327171.877,1292924.342,737486.726,58300.165
2000-01-08 22:00:00+00:00,304371.537,1235032.844,712446.218,65045.213
2000-01-08 23:00:00+00:00,282532.018,1266046.695,708964.8,77780.633
2000-01-09 00:00:00+00:00,276791.393,1181509.856,754239.303,84645.624
2000-01-09 01:00:00+00:00,221456.19,1198151.565,713173.547,99719.77
2000-01-09 02:00:00+00:00,250818.262,1119536.145,649654.468,104483.297
2000-01-09 03:00:00+00:00,255639.894,1115434.672,598175.403,117593.925
2000-01-09 04:00:00+00:00,267881.502,1158625.986,564927.894,147765.641
2000-01-09 05:00:00+00:00,274033.034,1169501.24,529654.852,158139.313
2000-01-09 06:00:00+00:00,259784.4,1233465.806,553765.107,239177.805
2000-01-09 07:00:00+00:00,265913.516,1179105.623,557443.704,334141.981
2000-01-09 08:00:00+00:00,314566.984,1117764.342,501434.79,439427.86
2000-01-09 09:00:00+00:00,343045.893,1117870.935,436781.714,521092.71
2000-01-09 10:00:00+00:00,299918.832,1059646.561,428959.592,542380.829
2000-01-09 11:00:00+00:00,306495.142,1013837.453,361539.22,565636.803
2000-01-09 12:00:00+00:00,317581.041,1051412.167,359980.165,611760.357
2000-01-09 13:00:00+00:00,292898.309,1031129.309,403500.337,710978.731
2000-01-09 14:00:00+00:00,289796.379,969669.369,425759.83,826993.18
2000-01-09 15:00:00+00:00,287144.645,950897.538,464052.603,951209.809
2000-01-09 16:00:00+00:00,271118.801,892486.812,521197.459,1039410.93
2000-01-09 17:00:00+00:00,299615.953,862561.317,595923.714,1115824.98
2000-01-09 18:00:00+00:00,268417.701,825055.573,620733.165,1170525.581
2000-01-09 19:00:00+00:00,248728.615,752764.698,641956.756,1208591.73
2000-01-09 20:00:00+00:00,217510.53,405523.962,682944.292,1245990.654
2000-01-09 21:00:00+00:00,240269.965,217552.631,787908.951,1248820.579
2000-01-09 22:00:00+00:00,221323.661,142287.629,860001.163,1225533.839
2000-01-09 23:00:00+00:00,195233.767,109412.82,927340.739,1200954.415
2000-01-10 00:00:00+00:00,167851.928,102732.656,1001059.242,1184627.321
2000-01-10 01:00:00+00:00,145155.711,88194.564,1041766.457,1147003.995
2000-01-10 02:00:00+00:00,133728.458,98644.056,1060974.588,1145962.416
2000-01-10 03:00:00+00:00,121258.259,100153.39,1084339.098,1085736.649
2000-01-10 04:00:00+00:00,97311.719,109487.32,1088314.519,1041740.386
2000-01-10 05:00:00+00:00,60761.44,105947.66,1087755.391,968227.796
2000-01-10 06:00:00+00:00,37376.962,85389.464,1105008.695,878045.039
2000-01-10 07:00:00+00:00,24677.693,87414.953,1115204.522,856179.273
2000-01-10 08:00:00+00:00,11566.467,79890.941,1132041.803,875715.97
2000-01-10 09:00:00+00:00,7191.707,94982.212,1106334.35,850054.266
2000-01-10 10:00:00+00:00,5580.281,131288.728,1126188.582,838456.849
2000-01-10 11:00:00+00:00,8341.91,191203.499,1131038.456,824406.417
2000-01-10 12:00:00+00:00,12554.04,276678.513,1107542.105,766522.05
2000-01-10 13:00:00+00:00,12574.538,327736.661,1149799.037,695558.794
2000-01-10 14:00:00+00:00,6419.648,356705.086,1108690.218,622620.459
2000-01-10 15:00:00+00:00,4012.448,472505.151,1062672.721,551398.83
2000-01-10 16:00:00+00:00,8452.176,506552.186,1031674.84,518438.978
2000-01-10 17:00:00+00:00,16560.86,566606.668,976087.432,477759.81
2000-01-10 18:00:00+00:00,17363.47,557743.196,898091.437,458184.946
2000-01-10 19:00:00+00:00,11469.911,497151.913,826572.998,420488.693
2000-01-10 20:00:00+00:00,5612.51,431734.414,781023.439,463518.174
2000-01-10 21:00:00+00:00,9297.698,375783.266,761523.651,487214.94
2000-01-10 22:00:00+00:00,17872.802,251100.31,752469.497,459933.378
2000-01-10 23:00:00+00:00,21331.502,237495.958,781407.094,451820.223
2000-01-11 00:00:00+00:00,17198.936,230775.402,779413.504,439584.468
2000-01-11 01:00:00+00:00,25887.983,281841.488,742391.533,432612.156
2000-01-11 02:00:00+00:00,36069.77,371937.641,724067.911,415666.349
2000-01-11 03:00:00+00:00,45179.869,502034.247,682368.871,397521.025
2000-01-11 04:00:00+00:00,39138.164,630005.443,641799.271,365800.125
2000-01-11 05:00:00+00:00,40572.75,689555.204,634587.767,345828.925
2000-01-11 06:00:00+00:00,39127.62,701704.573,645431.72,379404.446
2000-01-11 07:00:00+00:00,57016.305,739046.206,607615.026,419558.094
2000-01-11 08:00:00+00:00,83960.92,718222.021,593045.179,421566.661
2000-01-11 09:00:00+00:00,94957.578,662368.185,564068.743,459312.884
2000-01-11 10:00:00+00:00,101868.609,635736.394,557868.684,455647.86
2000-01-11 11:00:00+00:00,134590.417,627715.498,523334.834,461597.664
2000-01-11 12:00:00+00:00,149865.057,556214.738,474904.31,497097.026
2000-01-11 13:00:00+00:00,173597.254,523691.265,455487.948,501636.868
2000-01-11 14:00:00+00:00,200041.13,447896.061,440119.679,522801.66
2000-01-11 15:00:00+00:00,239532.54,435709.877,410469.578,574163.385
2000-01-11 16:00:00+00:00,228962.328,455472.621,421496.301,642695.436
2000-01-11 17:00:00+00:00,224780.174,497915.49,450563.014,656044.403
2000-01-11 18:00:00+00:00,249384.5,599992.916,450368.435,695118.573
2000-01-11 19:00:00+00:00,248007.09,671397.08,471054.033,681490.522
2000-01-11 20:00:00+00:00,211774.1,768751.206,461086.881,717773.445
2000-01-11 21:00:00+00:00,239672.1,786013.343,426192.244,698832.318
2000-01-11 22:00:00+00:00,268248.02,787824.286,421655.012,679953.25
2000-01-11 23:00:00+00:00,268077.19,853315.657,411413.925,686010.198
2000-01-12 00:00:00+00:00,259572.77,948536.443,401244.831,648147.585
2000-01-12 01:00:00+00:00,262173.14,934129.819,402377.621,606828.477
2000-01-12 02:00:00+00:00,279122.74,914702.633,370166.282,591346.249
2000-01-12 03:00:00+00:00,301502.58,809174.582,300715.419,542522.472
2000-01-12 04:00:00+00:00,296214.071,668839.566,259973.553,560834.081
2000-01-12 05:00:00+00:00,289262.194,548971.959,255578.035,518495.137
2000-01-12 06:00:00+00:00,310210.581,394471.087,244338.441,542642.599
2000-01-12 07:00:00+00:00,269395.31,306126.778,201961.646,504696.197
2000-01-12 08:00:00+00:00,242359.835,279629.706,195797.542,499836.854
2000-01-12 09:00:00+00:00,225129.778,256329.52,180543.833,475622.497
2000-01-12 10:00:00+00:00,206564.087,267621.785,198395.987,457390.753
2000-01-12 11:00:00+00:00,229117.319,292738.05,193894.177,413679.737
2000-01-12 12:00:00+00:00,300301.69,293144.66,192704.396,391041.374
2000-01-12 13:00:00+00:00,265814.974,273209.836,176359.931,370919.413
2000-01-12 14:00:00+00:00,237658.565,230283.017,164719.272,366820.969
2000-01-12 15:00:00+00:00,205571.177,172942.016,141396.088,438069.123
2000-01-12 16:00:00+00:00,196652.701,139460.308,145806.879,472039.025
2000-01-12 17:00:00+00:00,201915.109,98808.402,143797.065,500593.971
2000-01-12 18:00:00+00:00,190226.594,98559.574,152812.016,547776.946
2000-01-12 19:00:00+00:00,150803.593,91674.046,157131.114,572132.537
2000-01-12 20:00:00+00:00,93006.856,84247.346,174125.479,548147.765
2000-01-12 21:00:00+00:00,75832.911,92803.136,182762.017,522668.989
2000-01-12 22:00:00+00:00,58238.474,101907.067,173751.114,513280.975
2000-01-12 23:00:00+00:00,49455.433,119998.097,176656.722,439038.494
2000-01-13 00:00:00+00:00,40634.274,129328.153,163111.832,412720.229
2000-01-13 01:00:00+00:00,26274.143,160494.524,177976.588,414806.745
2000-01-13 02:00:00+00:00,27768.678,161109.832,168523.712,403403.197
2000-01-13 03:00:00+00:00,37529.4,134679.405,160246.491,414876.896
2000-01-13 04:00:00+00:00,52120.288,159647.961,157383.813,435317.969
2000-01-13 05:00:00+00:00,75622.169,207437.087,148350.93,416123.706
2000-01-13 06:00:00+00:00,97611.042,305983.461,161311.26,411549.323
2000-01-13 07:00:00+00:00,126492.652,337316.947,195724.17,389738.221
2000-01-13 08:00:00+00:00,144572.927,383871.807,187803.593,399308.067
2000-01-13 09:00:00+00:00,163018.904,372232.305,190403.638,410646.227
2000-01-13 10:00:00+00:00,164009.115,427502.906,188687.023,429626.452
2000-01-13 11:00:00+00:00,166576.991,497654.687,162456.384,410758.144
2000-01-13 12:00:00+00:00,160523.965,575490.472,136649.087,393785.935
2000-01-13 13:00:00+00:00,206526.505,651959.155,133046.293,348838.328
2000-01-13 14:00:00+00:00,226059.514,747157.966,127725.152,333639.519
2000-01-13 15:00:00+00:00,232409.697,887917.257,121781.953,324907.902
2000-01-13 16:00:00+00:00,239653.682,1012548.778,121388.55,339963.5
2000-01-13 17:00:00+00:00,246933.225,1032011.101,128903.504,365954.046
2000-01-13 18:00:00+00:00,291668.973,1018193.682,133577.781,400861.69
2000-01-13 19:00:00+00:00,318509.726,1004968.178,139517.122,399479.642
2000-01-13 20:00:00+00:00,308264.95,1021844.97,142878.044,406389.953
2000-01-13 21:00:00+00:00,301961.611,1008748.776,131133.425,373530.926
2000-01-13 22:00:00+00:00,297605.594,1073067.967,133182.169,360062.047
2000-01-13 23:00:00+00:00,320794.794,1176421.036,133328.1,332155.178
2000-01-14 00:00:00+00:00,334196.201,1187378.494,140206.591,294794.519
2000-01-14 01:00:00+00:00,362107.441,1111083.181,147061.423,293801.755
2000-01-14 02:00:00+00:00,385707.655,1045710.402,159497.795,299440.161
2000-01-14 03:00:00+00:00,374397.906,1030350.392,161662.255,309498.941
2000-01-14 04:00:00+00:00,337111.261,1034091.963,151590.745,338322.174
2000-01-14 05:00:00+00:00,318548.442,1067530.903,159395.384,351449.65
2000-01-14 06:00:00+00:00,307300.914,1110675.461,180050.745,390998.39
2000-01-14 07:00:00+00:00,282914.858,1101624.883,208422.432,411532.097
2000-01-14 08:00:00+00:00,267744.418,1146458.619,229460.179,442692.047
2000-01-14 09:00:00+00:00,254693.65,1167085.879,271398.191,462920.895
2000-01-14 10:00:00+00:00,228367.331,1172297.317,301827.102,496598.605
2000-01-14 11:00:00+00:00,221747.886,1186700.103,350581.266,524569.179
2000-01-14 12:00:00+00:00,224574.614,1205625.369,379310.324,526683.793
2000-01-14 13:00:00+00:00,214545.325,1223829.637,425371.911,479388.8
2000-01-14 14:00:00+00:00,197195.055,1211035.931,473623.001,447946.835
2000-01-14 15:00:00+00:00,230735.769,1298492.419,468348.72,442657.219
2000-01-14 16:00:00+00:00,264956.244,1411465.85,502239.795,458606.219
2000-01-14 17:00:00+00:00,289370.334,1528331.889,565808.95,462480.442
2000-01-14 18:00:00+00:00,309683.9,1557705.392,667808.683,517133.347
2000-01-14 19:00:00+00:00,340011.93,1639503.552,788508.552,593063.033
2000-01-14 20:00:00+00:00,360357.268,1682449.453,892111.193,678990.069
2000-01-14 21:00:00+00:00,375962.569,1712054.094,992470.747,718202.703
2000-01-14 22:00:00+00:00,394576.874,1752180.383,1022921.204,754347.714
2000-01-14 23:00:00+00:00,418123.336,1805345.438,1026269.237,735746.536
2000-01-15 00:00:00+00:00,425957.653,1843714.512,1082500.797,689526.208
2000-01-15 01:00:00+00:00,433982.03,1840827.512,1044238.714,662081.297
2000-01-15 02:00:00+00:00,448275.816,1795625.718,1031574.999,695434.941
2000-01-15 03:00:00+00:00,456627.804,1783579.208,1074936.414,717783.369
2000-01-15 04:00:00+00:00,459449.57,1790916.312,1175387.007,764656.486
2000-01-15 05:00:00+00:00,465875.527,1834169.187,1286511.224,807931.31
2000-01-15 06:00:00+00:00,471703.68,1856292.421,1396177.245,919502.178
2000-01-15 07:00:00+00:00,478690.332,1842259.515,1513917.131,1019608.152
2000-01-15 08:00:00+00:00,483596.046,1844525.197,1555972.903,1106418.507
2000-01-15 09:00:00+00:00,486404.469,1827866.718,1527912.728,1229211.695
2000-01-15 10:00:00+00:00,482731.121,1856364.927,1519181.528,1251527.389
2000-01-15 11:00:00+00:00,476298.601,1870579.811,1544499.828,1248742.731
2000-01-15 12:00:00+00:00,446214.536,1875029.416,1575160.73,1230459.483
2000-01-15 13:00:00+00:00,434374.037,1811824.241,1651531.901,1227939.94
2000-01-15 14:00:00+00:00,426791.634,1801693.576,1663343.029,1255698.25
2000-01-15 15:00:00+00:00,417683.091,1775285.593,1651670.254,1287143.867
2000-01-15 16:00:00+00:00,395369.44,1781888.884,1725357.09,1340734.474
2000-01-15 17:00:00+00:00,370597.901,1804379.787,1824227.091,1379933.731
2000-01-15 18:00:00+00:00,354803.882,1761985.868,1883332.968,1388812.914
2000-01-15 19:00:00+00:00,339868.864,1784953.524,1919074.747,1399661.724
2000-01-15 20:00:00+00:00,332544.893,1768035.575,1899971.704,1408942.088
2000-01-15 21:00:00+00:00,326018.794,1731340.146,1919757.45,1404584.972
2000-01-15 22:00:00+00:00,314824.216,1693240.757,1937181.367,1398335.528
2000-01-15 23:00:00+00:00,298568.062,1681324.677,1929686.218,1399216.504
2000-01-16 00:00:00+00:00,283809.731,1632928.546,1942873.84,1386256.291
2000-01-16 01:00:00+00:00,265853.644,1607123.863,1941042.802,1392818.151
2000-01-16 02:00:00+00:00,258370.003,1612001.509,1950135.133,1391614.289
2000-01-16 03:00:00+00:00,238487.396,1532580.348,1942920.9,1402023.121
2000-01-16 04:00:00+00:00,201238.465,1488528.914,1938583.454,1411038.887
2000-01-16 05:00:00+00:00,171551.098,1519730.562,1931997.893,1404856.83
2000-01-16 06:00:00+00:00,169245.376,1507564.831,1926121.753,1390463.924
2000-01-16 07:00:00+00:00,181356.823,1501515.224,1926521.698,1305620.673
2000-01-16 08:00:00+00:00,193305.817,1494037.694,1906151.5,1160426.017
