,Wind turbine ID,Terrain height [m],Nacelle height [m],Rotor diameter [m],Max power [MW],Price region,Installation date,Longitude,Latitude
78,0980-V-031-001,1.34,41.0,37.0,0.49,SE3,1977-07-31,18.176320195392083,57.145265874331756
79,0980-V-031-002,1.65,41.0,37.0,0.49,SE3,1977-07-31,18.17427528679621,57.14725875215824
80,1487-V-016-001,65.3,31.0,29.0,0.22,SE3,1977-08-23,12.315111116308833,58.53328148567577
81,1461-V-033-001,52.39,41.0,27.0,0.15,SE3,1977-08-24,12.5224085642093,58.61316017719166
82,1419-V-021-001,14.32,31.0,29.0,0.22,SE3,1977-09-17,11.568612067856991,57.94140909006834
83,1461-V-030-001,50.95,41.0,27.0,0.15,SE3,1977-09-26,12.490694139646147,58.596503593238
84,1493-V-009-001,61.96,42.0,40.0,0.6,SE3,1977-10-18,13.69707036071783,58.80453218226536
85,1381-V-023-001,22.96,41.0,29.0,0.25,SE4,1977-11-22,13.060698669664724,56.56611053437549
86,1381-V-026-001,25.44,41.0,29.0,0.25,SE4,1977-11-23,13.04568280523624,56.58050941940464
87,1281-V-011-001,11.94,41.0,42.0,0.6,SE4,1977-12-04,13.12105833573084,55.712830405441316
88,1761-V-002-001,48.33,42.0,36.0,0.5,SE3,1977-12-12,13.431979648460443,59.32944922299806
89,0980-V-002-010,5.46,50.0,40.0,0.5,SE3,1977-12-14,18.953571712428893,57.73380195701804
90,0980-V-060-001,10.95,50.0,40.0,0.5,SE3,1977-12-18,19.01361429496712,57.7564565047709
91,0980-V-060-002,9.38,50.0,40.0,0.5,SE3,1977-12-19,19.013039480897294,57.75446054904087
92,1282-V-002-001,36.87,41.0,37.0,0.5,SE4,1977-12-19,13.019364487154439,55.86044202242657
93,1484-V-008-001,38.86,40.0,37.0,0.5,SE3,1977-12-20,11.448501800622603,58.29102570045676
94,0980-V-002-009,9.11,50.0,40.0,0.5,SE3,1977-12-21,18.948899902129174,57.73435828156466
95,0840-V-041-001,15.32,31.0,27.0,0.22,SE4,1977-12-30,16.41399754132882,56.295367677926826
96,0840-V-041-002,14.76,31.0,27.0,0.22,SE4,1977-12-30,16.415014838111897,56.292680425774435
97,0840-V-041-003,13.76,31.0,27.0,0.22,SE4,1977-12-30,16.415624518049004,56.29119524127964
98,0840-V-041-005,14.05,31.0,27.0,0.22,SE4,1977-12-30,16.416766047415553,56.288116217778
99,0840-V-041-004,13.79,31.0,27.0,0.22,SE4,1977-12-30,16.416096862972275,56.28959328386402
100,1286-V-030-001,22.82,42.0,40.0,0.5,SE4,1978-01-15,13.74443538793264,55.42964904139737
101,0563-V-013-001,110.65,31.0,29.0,0.15,SE3,1978-01-18,14.941724153575281,58.35656868923406
102,1277-V-018-002,26.64,40.0,39.0,0.5,SE4,1978-02-15,12.975783293321223,56.169640407690636
103,1277-V-018-001,25.87,40.0,39.0,0.5,SE4,1978-02-15,12.976855743330963,56.17126436412494
104,1282-V-007-001,33.0,41.0,37.0,0.5,SE4,1978-03-07,13.016386972108936,55.858739163234894
105,1270-V-016-001,68.31,31.0,29.0,0.22,SE4,1978-03-20,14.089105910029756,55.52331694626544
106,1270-V-017-001,66.79,31.0,29.0,0.22,SE4,1978-03-20,14.086902048124665,55.52301649061684
107,2280-V-007-001,176.25,40.0,44.0,0.6,SE2,1978-05-01,17.952314982818443,62.609209274845064
108,1286-V-028-001,45.19,50.0,40.0,0.5,SE4,1978-05-13,14.024262821596562,55.46260482168422
109,1286-V-028-002,42.33,50.0,40.0,0.5,SE4,1978-05-13,14.023079805001728,55.46464477852492
110,1286-V-024-002,59.43,50.0,40.0,0.5,SE4,1978-05-15,13.667653795834436,55.47982960953733
111,1286-V-024-001,66.5,50.0,40.0,0.5,SE4,1978-05-15,13.668766882666239,55.48220752399056
112,1382-V-010-006,3.18,40.0,42.0,0.6,SE4,1978-05-18,12.471389428182519,56.89028309552865
113,1381-V-045-001,28.12,41.0,29.0,0.25,SE4,1978-05-22,13.060673714199826,56.440484958418956
114,1266-V-018-001,150.23,41.0,37.0,0.5,SE4,1978-05-23,13.687210089258736,55.81233585834878
115,1484-V-011-002,56.2,42.0,40.0,0.5,SE3,1978-06-01,11.414592763686928,58.3386090283467
116,1484-V-011-001,54.56,42.0,40.0,0.5,SE3,1978-06-01,11.416487212459218,58.33741962155882
117,1284-V-010-001,8.89,42.0,37.0,0.49,SE4,1978-06-06,12.61235323546491,56.227437437841566
118,1381-V-042-001,10.56,41.0,37.0,0.6,SE4,1978-06-06,13.009280687312685,56.47673500094562
119,1381-V-012-001,32.82,45.0,44.0,0.5,SE4,1978-06-19,13.045545646956763,56.53601111554581
120,1284-V-006-002,12.18,41.0,37.0,0.5,SE4,1978-06-20,12.565267473699073,56.23751678497312
121,1284-V-006-001,13.5,41.0,37.0,0.5,SE4,1978-06-20,12.564812499969348,56.23965256169254
122,1488-V-001-001,48.85,30.0,29.0,0.22,SE3,1978-07-01,12.35232356485654,58.27657531356555
123,1470-V-039-001,114.19,37.0,36.0,0.75,SE3,1978-07-01,13.096301117482716,58.17924512655374
124,0980-V-059-002,42.98,40.0,44.0,0.6,SE3,1978-07-03,18.544162595758245,57.81206936603704
125,1284-V-010-002,9.63,41.0,29.0,0.25,SE4,1978-07-09,12.614566372089042,56.229920906553076
126,1281-V-012-001,18.9,40.0,39.0,0.5,SE4,1978-07-11,13.145761222563769,55.70859716018232
127,0980-V-029-001,45.73,42.0,29.0,0.25,SE3,1978-07-18,18.44738393798066,57.76061642099645
128,0980-V-029-002,46.12,42.0,29.0,0.25,SE3,1978-07-19,18.438748483224845,57.75971495323003
129,1444-V-004-001,50.52,50.0,44.0,0.6,SE3,1978-07-26,12.581462506675464,58.331582460045624
130,1415-V-011-001,59.61,42.0,40.0,0.5,SE3,1978-08-01,11.840369680633726,58.09037953682276
131,1415-V-011-002,86.28,42.0,40.0,0.5,SE3,1978-08-01,11.843358790831727,58.08778569667051
132,1291-V-009-001,44.28,42.0,40.0,0.5,SE4,1978-08-25,14.332545709674932,55.53041337805959
133,1285-V-012-001,55.22,41.0,37.0,0.5,SE4,1978-08-29,13.237468225349648,55.85813968691673
134,1462-V-023-001,30.78,,,0.1,SE3,1978-09-01,12.22038926740057,58.256205546222034
135,1290-V-049-001,9.63,42.0,37.0,0.5,SE4,1978-09-04,14.274749979916013,56.007976594728596
136,0980-V-032-001,18.59,50.0,44.0,0.6,SE3,1978-09-17,18.593120467062846,57.23212475039114
137,0980-V-032-002,18.31,50.0,44.0,0.6,SE3,1978-09-20,18.58945672592295,57.23174349235221
138,1435-V-058-001,76.15,46.0,43.0,0.6,SE3,1978-10-01,11.261786896355963,58.77593151840704
139,1282-V-004-007,2.95,40.0,42.0,0.6,SE4,1978-10-14,12.818895390938216,55.84921183065586
140,1282-V-004-008,3.55,40.0,42.0,0.6,SE4,1978-10-14,12.815813616752523,55.849613178174145
141,1282-V-004-002,3.47,40.0,42.0,0.6,SE4,1978-10-14,12.824711146560267,55.855238780341395
142,1282-V-004-001,3.34,40.0,42.0,0.6,SE4,1978-10-14,12.822136807961993,55.85610187488613
143,1282-V-004-012,2.67,40.0,42.0,0.6,SE4,1978-10-14,12.81998879312341,55.854737804751785
144,1282-V-004-004,3.4,40.0,42.0,0.6,SE4,1978-10-14,12.826414861505452,55.85176653604888
145,1282-V-004-003,3.17,40.0,42.0,0.6,SE4,1978-10-14,12.825703513675617,55.853546532218445
146,1282-V-004-009,3.33,40.0,42.0,0.6,SE4,1978-10-14,12.814113852683294,55.85115338509065
147,1282-V-004-011,1.31,40.0,42.0,0.6,SE4,1978-10-14,12.817102937150166,55.853832002854105
148,1282-V-004-006,2.97,40.0,42.0,0.6,SE4,1978-10-14,12.821990148638278,55.849682340274
149,1282-V-004-005,1.71,40.0,42.0,0.6,SE4,1978-10-14,12.825102917322445,55.85012630677797
150,1282-V-004-010,3.46,40.0,42.0,0.6,SE4,1978-10-14,12.814399526852142,55.85284066606361
151,2280-V-006-001,100.04,40.0,44.0,0.6,SE2,1978-10-27,18.059759176408704,62.75514621264665
152,1435-V-010-001,72.43,55.0,48.0,0.8,SE3,1978-11-01,11.357862768800729,58.606717578542934
153,0980-V-004-010,15.92,50.0,44.0,0.6,SE3,1978-11-19,18.269708608113188,57.13683933926545
154,0980-V-004-012,14.26,50.0,44.0,0.6,SE3,1978-11-19,18.25970320779795,57.1361910837725
155,0980-V-034-001,19.0,50.0,44.0,0.6,SE3,1978-11-19,18.27820129843035,57.14402926771067
156,0980-V-004-001,16.82,50.0,44.0,0.6,SE3,1978-11-20,18.26764061257377,57.1440124441835
157,0580-V-004-001,70.22,40.0,44.0,0.6,SE3,1978-12-03,15.429317345459078,58.44868821247979
158,1286-V-027-002,52.11,50.0,40.0,0.5,SE4,1978-12-11,14.123428287145261,55.461196749049655
159,1286-V-027-001,53.02,50.0,40.0,0.5,SE4,1978-12-11,14.12317185486414,55.46350200663385
160,1421-V-006-001,59.59,1.0,1.0,0.01,SE3,1979-01-01,11.549656859599867,58.15900479027087
161,1499-V-013-001,178.37,23.0,20.0,0.1,SE3,1979-01-01,13.433264597384165,58.20579553589729
162,2282-V-003-001,115.9,40.0,44.0,0.6,SE2,1979-01-01,17.95777714496363,62.80119763743471
163,1380-V-012-001,35.19,42.0,42.0,0.6,SE4,1979-02-28,13.003390026329242,56.625493519273434
164,0980-V-003-007,4.15,50.0,44.0,0.6,SE3,1979-03-03,18.231695543036643,57.07303270842476
165,1283-V-060-001,24.95,40.0,39.0,0.5,SE4,1979-08-20,12.778169413349763,55.98326752478958
166,1285-V-014-001,39.55,50.0,44.0,0.6,SE4,1979-09-24,13.219645367804512,55.80995493549613
167,1285-V-015-001,41.6,50.0,44.0,0.6,SE4,1979-09-29,13.226644801455965,55.80689443073481
168,1435-V-054-005,52.93,50.0,44.0,0.6,SE3,1979-10-01,11.264142069013158,58.729000573729614
169,1435-V-054-006,47.31,50.0,44.0,0.6,SE3,1979-10-01,11.26012355078943,58.729715984453165
170,1435-V-054-001,41.33,50.0,44.0,0.6,SE3,1979-10-01,11.2663287176451,58.72698754515765
171,1435-V-054-002,61.41,50.0,44.0,0.6,SE3,1979-10-01,11.270992316480667,58.72955052482194
172,1435-V-054-003,67.0,50.0,44.0,0.6,SE3,1979-10-01,11.265301244174799,58.73031957804365
173,1435-V-054-004,60.24,50.0,44.0,0.6,SE3,1979-10-01,11.268394415884348,58.73009994281463
174,1261-V-010-001,20.3,41.0,44.0,0.6,SE4,1979-10-03,13.032930673365959,55.78016661095754
175,1270-V-018-001,66.19,32.0,29.0,0.22,SE4,1979-10-17,14.084713686344582,55.52272527675847
176,0680-V-002-002,94.39,40.0,44.0,0.6,SE3,1979-10-25,14.350938593931318,58.07419192737376
177,0586-V-022-001,81.95,45.0,42.0,0.6,SE3,1979-11-08,15.318248309228292,58.38414238184285
178,1381-V-039-001,31.68,49.0,42.0,0.6,SE4,1979-11-08,13.064222063273949,56.48728466083069
179,1427-V-002-001,31.12,45.0,44.0,0.6,SE3,1979-11-10,11.297700042579748,58.3807250140115
180,1419-V-020-001,15.67,32.0,29.0,0.22,SE3,1979-11-11,11.56717804318833,57.94216515228297
181,0586-V-041-001,108.83,55.0,44.0,0.6,SE3,1979-11-18,15.011676966551764,58.41564785567813
182,2281-V-005-001,41.11,55.0,44.0,0.6,SE2,1979-11-21,17.58861428615743,62.238367257081464
183,1381-V-020-002,11.56,50.0,42.0,0.6,SE4,1979-11-24,13.013955833077969,56.4568998758288
184,1287-V-009-001,19.24,45.0,42.0,0.6,SE4,1979-11-25,13.326604639219978,55.365113261065744
185,1290-V-052-001,88.87,40.0,44.0,0.6,SE4,1979-12-01,14.14954243860948,55.792826791884515
186,1380-V-015-001,22.19,30.0,44.0,0.6,SE4,1979-12-01,12.961742958258466,56.59127307079858
187,1381-V-052-001,13.06,50.0,42.0,0.6,SE4,1979-12-11,12.98674495180451,56.50074338663488
188,1381-V-051-001,11.94,50.0,42.0,0.6,SE4,1979-12-11,12.98914590681002,56.499109024797
189,1381-V-050-001,12.14,50.0,42.0,0.6,SE4,1979-12-11,12.991546470756946,56.497419704959
190,1287-V-010-001,20.54,45.0,42.0,0.6,SE4,1979-12-12,13.318623065763747,55.364349000911865
191,0980-V-039-001,48.14,65.0,40.0,0.5,SE3,1979-12-18,18.580237674478926,57.64490300951925
192,0980-V-036-001,2.16,50.0,40.0,0.5,SE3,1979-12-19,18.191651176277563,57.38650933600823
193,0980-V-038-001,17.65,65.0,40.0,0.5,SE3,1979-12-20,18.704812041925194,57.83507792084237
194,0980-V-066-001,18.22,68.0,45.0,0.5,SE3,1979-12-20,18.712446817035506,57.810929543965266
195,0980-V-046-001,17.42,65.0,40.0,0.5,SE3,1979-12-20,18.701319790894186,57.83437613856119
196,0980-V-007-008,2.83,40.0,44.0,0.6,SE3,1979-12-21,18.21468916448317,57.06328687601724
197,0980-V-042-001,2.9,55.0,44.0,0.6,SE3,1979-12-29,18.788430105673026,57.71096364248716
198,1382-V-029-001,13.3,60.0,47.0,0.66,SE4,1980-01-01,12.485657725718543,56.94721983162642
199,2326-V-008-001,228.04,,,0.05,SE2,1980-01-01,18.88392223928208,63.87207752065746
200,1382-V-031-001,13.05,60.0,47.0,0.66,SE4,1980-01-01,12.488010937825798,56.94611041796726
201,1382-V-033-001,13.76,60.0,47.0,0.66,SE4,1980-01-01,12.490389916782885,56.94500696087806
202,2581-V-001-002,11.83,55.0,47.0,0.66,SE1,1980-01-01,21.612180602058885,65.25380476054374
203,0428-V-001-001,38.86,40.0,47.0,0.6,SE3,1980-01-01,15.831630570235943,59.04898391126206
204,0885-V-003-001,2.03,45.0,44.0,0.6,SE4,1980-01-01,17.075107061382795,57.22934748695022
205,0885-V-003-002,2.65,45.0,44.0,0.6,SE4,1980-01-01,17.076198555657868,57.231505129644376
206,0885-V-003-003,1.5,45.0,44.0,0.6,SE4,1980-01-01,17.072212761388275,57.23160914645532
207,0885-V-003-004,2.46,45.0,44.0,0.6,SE4,1980-01-01,17.07907268488112,57.22919860196933
208,0885-V-003-005,2.36,45.0,44.0,0.6,SE4,1980-01-01,17.080265913076975,57.23139927566687
209,1446-V-005-001,96.48,34.0,23.0,0.14,SE3,1980-01-01,14.510735123095513,58.50771046969662
210,1446-V-005-002,95.87,34.0,23.0,0.14,SE3,1980-01-01,14.512489080817685,58.50780722605756
211,1446-V-005-003,96.11,34.0,23.0,0.14,SE3,1980-01-01,14.514365859134601,58.507896429546825
212,2581-V-001-001,11.73,55.0,47.0,0.66,SE1,1980-01-01,21.606460110378315,65.25520816735292
213,0980-V-001-001,,40.0,37.0,0.55,SE3,1980-02-29,18.149027781600264,57.04488889058117
214,1381-V-047-001,11.68,50.0,42.0,0.6,SE4,1980-02-29,12.992136963193616,56.49066449037989
215,0980-V-001-002,,40.0,37.0,0.55,SE3,1980-02-29,18.14994443715229,57.03894442572701
216,0980-V-001-003,,40.0,37.0,0.55,SE3,1980-02-29,18.150722168881778,57.03411115671824
217,0980-V-001-004,,40.0,37.0,0.55,SE3,1980-02-29,18.15958325001827,57.03711108725555
218,0980-V-001-005,,40.0,37.0,0.55,SE3,1980-02-29,18.157250018930853,57.04005553938621
219,1381-V-036-001,30.48,50.0,42.0,0.6,SE4,1980-02-29,13.041781203499026,56.53946006233068
220,1381-V-049-001,11.28,50.0,42.0,0.6,SE4,1980-03-11,12.991304890075925,56.49369525817093
221,1381-V-027-001,18.93,50.0,42.0,0.6,SE4,1980-03-31,13.021876527899364,56.58337246947728
222,1381-V-054-001,9.11,50.0,42.0,0.6,SE4,1980-03-31,12.979398098346818,56.42919156647172
223,1381-V-029-001,15.06,50.0,42.0,0.6,SE4,1980-04-02,13.015381698802488,56.571736957298995
224,1287-V-011-001,12.15,50.0,44.0,0.75,SE4,1980-04-16,13.250906967140972,55.36376912708476
225,1381-V-033-001,21.19,32.0,26.0,0.6,SE4,1980-04-19,13.023612336357871,56.54444786894834
226,1381-V-038-001,30.99,50.0,42.0,0.6,SE4,1980-04-19,13.066004849582571,56.48359133459244
227,1381-V-037-001,31.55,50.0,42.0,0.6,SE4,1980-04-20,13.069357751994692,56.482319128111904
228,1463-V-009-001,62.99,50.0,30.0,0.23,SE3,1980-05-08,12.459723511710203,57.56753454466051
229,1435-V-030-001,62.97,45.0,44.0,0.6,SE3,1980-06-10,11.298274238015194,58.69777322306293
230,1435-V-029-001,64.86,45.0,44.0,0.6,SE3,1980-06-11,11.299301123037976,58.70006583379385
231,1381-V-004-001,12.18,50.0,47.0,0.66,SE4,1980-06-25,12.989847122759018,56.488896931859855
232,1499-V-009-001,203.32,30.0,24.0,0.15,SE3,1980-07-14,13.421160093066923,58.12677233194513
233,0563-V-015-001,91.18,41.0,39.0,0.5,SE3,1980-07-23,14.722534336528293,58.40076971557566
234,1497-V-034-001,151.56,20.0,20.0,0.13,SE3,1980-08-08,14.179926066480338,58.19135169377434
235,1286-V-026-001,55.41,65.0,40.0,0.5,SE4,1980-08-10,13.871447234804275,55.484136335485644
236,1286-V-025-001,62.68,65.0,40.0,0.5,SE4,1980-08-10,13.869278230940598,55.48545852168006
237,1382-V-028-001,12.96,60.0,47.0,0.66,SE4,1980-08-31,12.483531545355497,56.94617642575695
238,1382-V-030-001,12.86,60.0,47.0,0.66,SE4,1980-09-16,12.485875541625377,56.945059766877684
239,1382-V-032-001,13.02,60.0,47.0,0.66,SE4,1980-09-17,12.488258313277644,56.94395121405825
240,1382-V-026-001,12.78,60.0,47.0,0.66,SE4,1980-09-18,12.481185335731293,56.94727502336253
241,1382-V-035-001,14.86,60.0,47.0,0.66,SE4,1980-09-20,12.492765623450225,56.94390357406169
242,1381-V-043-001,14.66,50.0,42.0,0.6,SE4,1980-09-20,13.034431768419655,56.47468898400559
243,1382-V-034-001,15.05,60.0,47.0,0.66,SE4,1980-09-20,12.49063337906931,56.9428548647133
244,1382-V-036-001,15.95,60.0,47.0,0.66,SE4,1980-09-20,12.49300721803985,56.94173058719703
245,1381-V-025-001,13.66,50.0,42.0,0.6,SE4,1980-09-29,13.021024751115034,56.44095774721544
246,2361-V-030-004,826.14,40.0,44.0,0.6,SE2,1980-10-06,14.113846275730758,62.3486644632178
247,0586-V-033-001,118.29,55.0,47.0,0.66,SE3,1980-10-08,14.986552632988431,58.37213448496697
248,0980-V-052-001,1.92,45.0,47.0,0.66,SE3,1980-10-11,18.169720913386143,57.144721546800724
249,0980-V-035-001,3.71,45.0,47.0,0.66,SE3,1980-10-11,18.164271525018624,57.17258461602999
250,2510-V-001-001,470.81,40.0,44.0,1.0,SE1,1980-10-12,18.19670951094921,67.52460034007183
251,1485-V-027-001,98.89,,,0.06,SE3,1980-10-12,11.646826594739466,58.29266962453361
252,2361-V-030-005,827.18,50.0,44.0,0.75,SE2,1980-10-22,14.113662971323576,62.347020552929166
253,1265-V-015-001,90.53,55.0,48.0,0.75,SE4,1980-11-01,13.847786800340751,55.61557105242917
254,1381-V-035-001,27.07,50.0,42.0,0.6,SE4,1980-11-05,13.027933101509637,56.536713581741374
255,1381-V-016-001,31.23,50.0,42.0,0.6,SE4,1980-11-08,13.055667323576287,56.42360874494033
256,1461-V-028-001,58.79,,,0.15,SE3,1980-11-16,12.502815144196187,58.70397697069429
257,1264-V-002-002,65.37,65.0,40.0,0.5,SE4,1980-11-17,13.605074876554411,55.499275050547176
